time,month_x,hours_after_sunset_x,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_y,sunset_time,hours_after_sunset_y,season,rat_present
26/12/2017 16:13,0,-0.5,20,4,0,0,,,,,,,,,,,,,0
26/12/2017 16:43,0,0,28,4,0,0,,,,,,,,,,,,,0
26/12/2017 17:13,0,0.5,25,4,0,0,,,,,,,,,,,,,0
26/12/2017 17:43,0,1,71,4,0,0,,,,,,,,,,,,,0
26/12/2017 18:13,0,1.5,44,3.753856942,0,0,,,,,,,,,,,,,0
26/12/2017 18:43,0,2,44,3.147265077,0,0,,,,,,,,,,,,,0
26/12/2017 19:13,0,2.5,41,3,0,0,,,,,,,,,,,,,0
26/12/2017 19:43,0,3,54,3,0,0,,,,,,,,,,,,,0
26/12/2017 20:13,0,3.5,32,3,0,0,,,,,,,,,,,,,0
26/12/2017 20:43,0,4,51,2.968873797,1.283333333,2,26/12/2017 20:57,1,,26/12/2017 20:53,26/12/2017 20:58,239,0,0,0,26/12/2017 16:43,4.248611111,0,1
26/12/2017 20:43,0,4,51,2.968873797,1.283333333,2,26/12/2017 20:57,5,,26/12/2017 20:53,26/12/2017 20:58,199,0,0,0,26/12/2017 16:43,4.2375,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:24,3,fast,26/12/2017 21:22,26/12/2017 21:27,121,0,1,0,26/12/2017 16:43,4.693611111,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:24,15,rat,26/12/2017 21:22,26/12/2017 21:27,88,1,0,0,26/12/2017 16:43,4.684444444,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:24,6,pick,26/12/2017 21:22,26/12/2017 21:27,113,0,1,0,26/12/2017 16:43,4.691388889,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:24,5,pick,26/12/2017 21:22,26/12/2017 21:27,128,0,1,0,26/12/2017 16:43,4.695555556,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:25,6,pick,26/12/2017 21:22,26/12/2017 21:27,153,0,1,0,26/12/2017 16:43,4.7025,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:26,1,bat_fight,26/12/2017 21:22,26/12/2017 21:27,216,1,0,0,26/12/2017 16:43,4.72,0,1
26/12/2017 21:13,0,4.5,53,2.561403509,4.866666667,1,26/12/2017 21:26,10,rat,26/12/2017 21:22,26/12/2017 21:27,208,1,0,0,26/12/2017 16:43,4.717777778,0,1
26/12/2017 21:43,0,5,47,2.086587436,7.9,1,,,,,,,,,,,,,1
26/12/2017 22:13,0,5.5,75,2,0.133333333,1,,,,,,,,,,,,,1
26/12/2017 22:43,0,6,45,1.958064516,0,0,,,,,,,,,,,,,0
26/12/2017 23:13,0,6.5,30,1.55,0,0,,,,,,,,,,,,,0
26/12/2017 23:43,0,7,44,1.049289229,0,0,,,,,,,,,,,,,0
27/12/2017 0:13,0,7.5,30,0.542372881,0,0,,,,,,,,,,,,,0
27/12/2017 0:43,0,8,26,0.144067797,0,0,,,,,,,,,,,,,0
27/12/2017 1:13,0,8.5,16,0,6.683333333,1,27/12/2017 1:35,2,rat_and_no_food,27/12/2017 1:34,27/12/2017 1:41,37,1,0,0,26/12/2017 16:43,8.8725,0,1
27/12/2017 1:43,0,9,13,0,0.016666667,1,,,,,,,,,,,,,1
27/12/2017 2:13,0,9.5,17,0,0,0,,,,,,,,,,,,,0
27/12/2017 2:43,0,10,15,0,0,0,,,,,,,,,,,,,0
27/12/2017 3:13,0,10.5,14,0,0,0,,,,,,,,,,,,,0
27/12/2017 3:43,0,11,13,0,0,0,,,,,,,,,,,,,0
27/12/2017 16:13,0,-0.5,13,4,0,0,,,,,,,,,,,,,0
27/12/2017 16:43,0,0,18,4,0,0,,,,,,,,,,,,,0
27/12/2017 17:13,0,0.5,31,4,0,0,,,,,,,,,,,,,0
27/12/2017 17:43,0,1,35,4,0,0,,,,,,,,,,,,,0
27/12/2017 18:13,0,1.5,22,4,0,0,,,,,,,,,,,,,0
27/12/2017 18:43,0,2,24,3.964516129,0,0,,,,,,,,,,,,,0
27/12/2017 19:13,0,2.5,30,3.566666667,0,0,,,,,,,,,,,,,0
