date, pm25, pm10, o3, no2, so2, co
2025/10/1, 36, 13, 40, 2, 1, 
2025/10/2, 31, 25, 42, 15, 1, 2
2025/10/3, 50, 41, 34, 5, 1, 1
2025/10/4, 69, 28, 35, 7, 1, 1
2025/10/5, 49, 17, 36, 5, 1, 1
2025/10/6, 34, 11, 34, 8, 1, 2
2025/10/7, 31, 21, 48, 18, 2, 3
2025/10/8, 49, 34, 28, 18, 1, 3
2025/10/9, 60, , , , , 
2025/7/1, 58, 31, 36, 9, 3, 20
2025/7/2, 45, , 37, 8, 2, 70
2025/7/3, 51, 23, 39, 6, 2, 
2025/7/4, 58, 22, 41, 3, 2, 
2025/7/5, 47, 21, 38, 10, 2, 
2025/7/6, 39, 21, 38, 5, 1, 8
2025/7/7, 44, 23, 35, 6, 1, 7
2025/7/8, 53, 21, 33, 8, 1, 15
2025/7/9, 46, 22, 40, 7, 2, 4
2025/7/10, 54, 27, 30, 3, 1, 
2025/7/11, 63, 20, 27, 2, 2, 
2025/7/12, 52, 21, 41, 6, 2, 
2025/7/13, 55, 19, 39, 6, 2, 1
2025/7/14, 50, 21, 49, 6, 3, 
2025/7/15, 56, 31, 71, 13, 2, 
2025/7/16, 66, 40, 48, 18, 2, 
2025/7/17, 69, 32, 31, 8, 3, 
2025/7/18, 63, 22, 39, 1, 3, 
2025/7/19, 54, 21, 42, 6, 3, 
2025/7/20, 58, 23, 41, 5, 2, 
2025/7/21, 59, 29, 35, 6, 3, 1
2025/7/22, 67, 24, 32, 7, 3, 1
2025/7/23, 60, 22, 39, 9, 2, 
2025/7/24, 56, 26, 38, 6, 2, 
2025/7/25, 60, 34, 47, 3, 2, 
2025/7/26, 70, 43, 59, 14, 2, 
2025/7/27, 83, 41, 43, 7, 2, 
2025/7/28, 79, 26, 31, 5, 2, 
2025/7/29, 58, 26, 34, 4, 2, 
2025/7/30, 54, 16, 32, 4, 2, 
2025/7/31, 42, 16, 34, 2, 2, 
2025/8/1, 40, 21, 37, 2, 1, 
2025/8/2, 53, 24, 35, 10, 2, 
2025/8/3, 58, 17, 34, 11, 1, 
2025/8/4, 52, 17, 31, 10, 1, 
2025/8/5, 50, 18, 32, 9, 2, 
2025/8/6, 53, 17, 30, 6, 2, 
2025/8/7, 50, 17, 33, 4, 2, 
2025/8/8, 46, 22, 38, 1, 2, 1
